Area Name,Postal Code,Latitude,Longitude
Adivare          ,410509,19.159047,73.69621
AFMC          ,411040,18.506342,73.890503
Agoti          ,413132,18.226457,74.975982
Airport          ,411032,18.578542,73.908641
Akurdi          ,411035,18.646468,73.774262
Ala          ,412411,18.504958,73.842081
Alande          ,412205,18.219254,73.922849
Alegaon          ,412211,18.610139,74.325417
Alegaon          ,413801,18.610139,74.325417
Alephata          ,412411,19.182543,74.097247
Ambade          ,412206,18.047384,73.852198
Ambale          ,410507,18.70834,74.34998
Ambarvet          ,412115,18.472855,73.822042
Ambavade          ,412206,18.07341,73.787656
Ambavane          ,410401,18.444231,73.590529
Ambavane          ,412213,18.444231,73.590529
Ambegaon BK        ,411046,18.402869,73.853668
Ambeghar          ,412206,18.132518,73.801102
Ambethan          ,410501,18.812238,73.826282
Ambi          ,410507,18.759752,73.679373
Amble          ,412211,18.705688,74.348699
Amboli          ,410502,19.089558,73.657156
Amboli          ,410505,19.089558,73.657156
Amdabad          ,412218,18.849897,74.259382
Ammunition Factory Khadki      ,411003,18.567988,73.857668
Amondi          ,412408,19.09245,73.827417
Anandnagar          ,411051,17.252763,74.175439
Andgaon          ,412115,18.462606,73.599162
Andhalgaon          ,412211,18.616834,74.399798
Ane          ,412410,19.181129,74.226519
Anjanavale          ,410502,18.645159,73.92576
Anthurne          ,413114,18.084588,74.80063
Antroli          ,412212,18.28287,73.681581
Aptale          ,410502,19.209911,73.772791
Apti          ,412206,18.119072,73.749257
Armament          ,411021,18.537086,73.795187
Arvi          ,412205,18.804265,74.314496
Arvi          ,412401,18.804265,74.314496
Asane          ,410509,19.160972,73.662451
Ashtapur          ,412207,18.546635,74.134273
Audar          ,412404,18.950203,73.69352
Aundh          ,411007,18.555964,73.804439
Aundh Camp        ,411027,18.501009,73.832877
Aundh T.S.        ,411007,18.552157,73.815439
Avhat          ,412402,19.0172,73.698627
Babhurdi          ,412204,18.273442,74.377375
Bahul          ,410501,18.725377,73.999094
Bajirao Road        ,411002,18.513567,73.853342
Ballalwadi          ,410502,19.268026,73.929369
Baner Gaon        ,411045,18.559003,73.786763
Baner Road        ,411008,18.53788,73.804824
Baramati          ,413102,18.182669,74.597219
Baramati Court        ,413102,18.158512,74.583353
Baramati MIDC        ,413133,18.204092,74.607834
Barhanpur          ,413102,18.202013,74.523258
Bari BK        ,412206,18.512324,73.854899
Bavdhan          ,411021,18.507098,73.776404
Bawada          ,413103,17.958906,75.005619
Bazarwadi          ,412206,18.094687,73.832254
Beam Wirelee Station      ,413801,18.645159,73.92576
Bebedhol          ,410506,18.645159,73.92576
Belawade          ,412108,18.48702,73.603298
Belawadi          ,413104,18.578891,73.770681
Belha          ,412410,19.115272,74.176372
Belsar          ,412303,18.313963,74.13097
Bet Narayan Maharaj      ,412203,18.394204,74.363902
Bhadas          ,412108,18.547806,73.536038
Bhamburde          ,412209,18.730015,74.286156
Bhandgaon          ,412214,18.235118,74.673305
Bhandgaon          ,413103,18.235118,74.673305
Bhangarwadi          ,410401,18.744562,73.414338
Bhavaninagar          ,413104,18.119517,74.685418
Bhavani Peth        ,411042,18.508673,73.870273
Bhigwan          ,413130,18.297701,74.754985
Bhigwan R S      ,413105,18.315697,74.773962
Bhimashankar          ,410509,19.07159,73.536022
Bhivadi          ,412301,18.320755,73.993993
Bhivari          ,412301,18.391099,73.931379
Bhodani          ,413103,17.997659,74.966176
Bhondave Wadi        ,412204,18.316597,74.337768
Bhongavali          ,412205,18.645159,73.92576
Bhor          ,412206,18.166565,73.866367
Bhorghar          ,410509,19.143251,73.729398
Bhorgiri          ,412402,19.049214,73.566492
Bhosarigoan          ,411039,18.624897,73.856609
Bhosari I.E.        ,411026,18.622558,73.829113
Bhose          ,410501,18.739566,73.915407
Bhoyare          ,412106,18.862473,73.596218
Bhugaon          ,412115,18.501422,73.750731
Bhukum          ,412115,18.494298,73.722042
Bhusari Colony        ,411038,18.508581,73.795821
Bhutonde          ,412206,18.212557,73.651786
Bibi          ,410513,18.977547,73.805655
Bibvewadi          ,411037,18.480641,73.862557
Bijawadi          ,413106,18.145788,74.95887
Bopgaon          ,412301,18.394601,73.953695
Bori          ,413104,18.126896,74.741022
Bori Aindi        ,412202,18.46266,74.176474
Bori BK        ,412411,19.111191,74.073815
Boribyal          ,413801,18.405735,74.651598
Bori Paradhi        ,412203,18.464782,74.376341
Botanical Garden        ,411020,18.569936,73.850643
Burunjwadi          ,412208,18.432795,74.101894
C D A      ,411001,18.500323,73.87816
Chakan          ,410501,18.760266,73.863035
Chambli          ,412301,18.366799,73.974094
Chandkhed          ,410506,18.648095,73.646263
Chandoli BK        ,410503,19.026878,73.977409
Charoli BK        ,412105,18.645159,73.92576
Chas          ,410513,18.986765,73.859068
Chas          ,410515,18.986765,73.859068
Chavand          ,410502,19.240449,73.745344
Chikhalgaon          ,412206,18.10844,73.809557
Chikhali          ,411062,18.671037,73.824262
Chikhlee          ,411062,18.645126,73.925756
Chilewadi          ,412409,18.645159,73.92576
Chimbli          ,412105,18.695398,73.860275
Chinchani Camp        ,412211,18.645159,73.92576
Chincholi          ,412218,18.576322,74.437679
Chincholi          ,413130,18.576322,74.437679
Chinchoshi          ,410505,18.751049,73.998107
Chinchwad East        ,411019,18.639625,73.795925
Chinchwadgaon          ,411033,18.629823,73.782213
C M E      ,411031,18.592434,73.847787
Cod Dehu Road      ,412101,18.700478,73.760158
Congress House Road      ,411005,18.523303,73.853551
Dahitane          ,412207,18.545825,74.209128
Dalaj          ,413132,18.231891,74.802682
Dapode          ,412213,18.31031,73.691145
Dapodi          ,411012,18.579049,73.830687
Dapodi Bazar        ,411012,18.624857,73.798769
Dasve Lavasa        ,412112,18.41022,73.509488
Daund          ,413801,18.460086,74.581606
Daundaj          ,412305,18.21359,74.163447
Dawadi          ,410505,18.783539,73.956555
Dawanewadi          ,412311,18.246888,74.015323
Deccan Gymkhana        ,411004,18.515773,73.842652
Degaon          ,412213,18.274998,73.893485
Dehane          ,412402,19.022985,73.658772
Dehu          ,412109,18.716993,73.765618
Dehu Road Cantt      ,412101,18.68047,73.734271
Delwadi          ,412214,18.559352,74.315854
Deulgaonraja          ,413801,18.4553,74.720721
Devale          ,410502,19.304593,73.751204
Dhakale          ,413110,18.181241,74.434976
Dhamane          ,410506,18.688929,73.668337
Dhamani          ,410508,18.915533,74.063793
Dhamari          ,412403,18.788104,74.041763
Dhangavadi          ,412205,18.461621,73.850531
Dhankawadi          ,411043,18.45678,73.856275
Dhanore          ,412105,18.657894,73.928662
Dhanore          ,412208,18.657894,73.928662
Dhanori          ,411015,18.580475,73.882755
Dhayari          ,411041,18.439598,73.812498
Dhekalwadi          ,413104,18.107437,74.668043
Dholwad          ,412409,19.220755,73.989507
Dighi Camp        ,411015,18.572696,73.910359
Dimbhe Colony        ,410509,19.086285,73.752392
Dingore          ,412409,19.275244,73.929369
Diwa          ,412301,18.645159,73.92576
Donda          ,410505,18.876855,73.851613
Donje          ,411025,18.408752,73.76707
Dorlewadi          ,413102,18.098258,74.610031
Dr.B.A. Chowk        ,411001,18.523491,73.869549
Dukirkline          ,411014,18.645159,73.92576
East Khadki        ,411003,18.546345,73.867208
Eklahare          ,412402,19.034396,73.955631
Ex. Serviceman Colony      ,411038,18.645159,73.92576
Film Institute        ,411004,18.51244,73.828763
Fulgaon          ,412216,18.658611,74.013889
Gadad          ,410501,18.905312,73.612604
Galandwadi          ,412203,18.529252,74.336752
Ganegaon Dumala        ,412211,18.513611,74.534722
Ganegaon Khalasa        ,412209,18.75943,74.176841
Ganeshkhind          ,411007,18.559586,73.817082
Gangapur KH        ,410516,19.065176,73.783086
Garade          ,412301,18.350321,73.928634
Gawadewadi          ,412405,18.958246,73.99354
Ghodegaon          ,412408,19.043699,73.833084
Ghorpade Peth        ,411042,18.502343,73.868735
Ghorpuri Bazar        ,411001,18.528172,73.893865
Ghotavade          ,412115,18.550435,73.662487
Ghotawadi          ,410505,18.988502,73.63596
Ghotondi          ,413120,18.645159,73.92576
Girawali          ,412408,19.087262,73.860882
Girim          ,413801,18.434917,74.51373
Godre          ,410502,19.261439,73.849801
Gogalwadi          ,412205,18.380708,73.872045
Gohe BK        ,410509,19.075995,73.741494
Gokhalenagar          ,411016,18.530733,73.830319
Golegaon          ,412210,18.784794,74.380007
Gondhale Nagar        ,411028,18.505301,73.938921
Gopalwadi          ,413801,18.447958,74.555116
Govt. Polytechnic        ,411016,18.538307,73.832656
Gulani          ,410505,18.874512,73.958025
Gulunche          ,412102,18.147307,74.226003
Gunawadi          ,413102,18.141982,74.5743
Gunjalwadi          ,412401,19.125931,73.942228
Gunjawane          ,412213,18.253632,73.705054
Gurholi          ,412104,18.413149,74.090226
Guruwar Peth        ,411042,18.511359,73.85762
Hadapsar          ,411028,18.562776,73.937058
Hadpsar I.E.        ,411013,18.510337,73.913937
Hargude          ,412311,18.218147,74.073657
Harnas          ,412206,18.196713,73.836311
Harni          ,412305,18.177169,74.115486
Hatve BK        ,412213,18.645159,73.92576
H.E. Factory        ,411003,18.556263,73.862577
Hingangaon          ,413106,18.08471,75.101917
Hingniberdi          ,413801,18.645159,73.92576
Hirdoshi          ,412206,18.115622,73.67082
Hivare          ,412208,18.565182,74.063088
Hivare          ,412301,18.565182,74.063088
Hivare BK        ,410504,19.184309,73.985941
Hivare KH        ,412409,19.228793,73.960357
Hol          ,412306,18.118128,74.312736
Iaf Station        ,411032,18.589426,73.923544
I.A.T          ,411025,18.424626,73.765771
Inamgaon          ,412210,18.589167,74.5375
Indapur          ,413106,18.143048,74.566833
Indapur Bazar        ,413106,18.118703,75.025703
Indrayaninagar          ,411026,18.635848,73.849147
Induri          ,410507,18.73545,73.715888
Infotech Park        ,411057,18.586548,73.736773
Inglun          ,410502,19.056931,73.638673
Inglun          ,412106,19.056931,73.638673
Ins Shivaji Lonavale      ,410402,18.720635,73.376603
Jalgaon Kadepathar        ,413102,18.229645,74.458058
Jambhali BK        ,412213,18.25352,73.835683
Jambhe          ,411033,18.641792,73.721306
Jambhori          ,410509,19.113306,73.676138
Jambhut          ,410504,19.001328,74.203258
Jategaon BK        ,412208,18.72369,74.114727
Javalarjun          ,412303,18.298358,74.242026
Jejuri          ,412303,18.276899,74.160229
Jeur          ,412305,18.128815,74.158713
Jhargadwadi          ,413102,18.645159,73.92576
Jogwadi          ,412206,17.93601,73.821333
Junnar          ,410502,19.203184,73.87425
Kadadhe          ,410513,18.975146,73.8282
Kadam Wak Wasti      ,412201,18.645159,73.92576
Kadethan          ,412215,18.501668,74.454174
Kadus          ,412404,18.897111,73.809757
Kadve          ,412107,18.35315,73.624002
Kaivalyadham          ,410403,18.762447,73.397394
Kalamb          ,410515,19.045845,73.956108
Kalamb          ,413114,19.045845,73.956108
Kalas          ,413105,18.581076,73.873393
Kalashi          ,413106,18.221935,75.001567
Kaldari          ,412311,18.248169,73.988145
Kalewadi          ,411017,18.508423,74.235686
Kalewadi          ,413801,18.508423,74.235686
Kalthan No 1,413106,18.191359,74.998404
Kalus          ,410501,18.764199,73.916877
Kalyan          ,412205,18.343161,73.756951
Kambaleshwar          ,413110,18.645159,73.92576
Kambegi          ,412107,18.348387,73.5426
Kamdhenunagar          ,412202,18.505871,74.148256
Kamshet          ,410405,18.751778,73.551396
Kamthadi          ,412213,18.248905,73.88748
Kanakwadi          ,412206,18.645159,73.92576
Kandali          ,412412,19.158083,74.058858
Kangaon          ,412219,18.517748,74.474544
Kanhe          ,412106,18.758798,73.596218
Kanhersar          ,410505,18.826978,74.007978
Kanhur          ,412218,18.8276,74.135571
Kapad Ganj        ,411002,18.513965,73.85928
Kapurhol          ,412205,18.230982,73.912368
Karandi          ,412208,18.728671,74.062478
Karandi BK        ,412206,18.235221,73.761392
Karandi Khedebare        ,412213,18.278202,73.915148
Karanjawane          ,412209,18.49632,74.0185
Karanjawane          ,412213,18.49632,74.0185
Karanje          ,412306,18.135672,74.267817
Karanjgaon          ,410405,18.81043,73.534014
Karawaghaj          ,413102,18.645159,73.92576
Karda          ,412210,18.07239,74.836228
Karegaon          ,410512,18.866379,74.101236
